CS Baugh,WI,2003,2012,47,35,11,482,49,20.08,719,67.03,0,0,2
AA Mulla,Can,2006,2009,24,24,0,482,58,20.08,595,81,0,1,2
WD Parnell,SA,2009,2017,61,35,13,482,56,21.9,616,78.24,0,1,2
SR Patel,ENG,2008,2013,36,22,7,482,70,32.13,517,93.23,0,1,1
DJ Reekers,NL,2006,2009,19,19,0,481,104,25.31,411,117.03,1,0,3
TN de Grooth,NL,2006,2013,34,32,4,480,97,17.14,774,62.01,0,1,1
DA Minors,BMUDA,2006,2007,20,20,2,478,68,26.55,791,60.42,0,3,1
BG Rogers,ZIM,2002,2005,15,15,0,478,84,31.86,689,69.37,0,5,2
S Lee,AUS,1995,2001,45,35,8,477,47,17.66,500,95.4,0,0,3
Karim Sadiq,AFG,2009,2016,24,22,2,475,114,23.75,587,80.91,2,0,3
SL Malinga,SL,2004,2015,191,96,29,475,56,7.08,622,76.36,0,1,23
CA Best,WI,1986,1992,24,23,4,473,100,24.89,690,68.55,1,2,2
AJ Bichel,AUS,1997,2004,67,36,13,471,64,20.47,600,78.5,0,1,5
UT Khawaja,AUS,2013,2017,18,17,2,469,98,31.26,570,82.28,0,4,1
KM Jadhav,INDIA,2014,2017,15,11,3,468,120,58.5,385,121.55,2,1,1
Nizakat Khan,HK,2014,2017,12,12,0,468,94,39,551,84.93,0,2,0
H Patel,Can,2009,2013,23,23,1,468,62,21.27,584,80.13,0,2,3
ALF de Mel,SL,1982,1987,57,41,9,466,36,14.56,595,78.31,0,0,6
JH Davey,SCOT,2010,2017,28,25,5,463,64,23.15,699,66.23,0,2,1
Mohammad Rizwan,PAK,2015,2017,25,22,6,460,75,28.75,512,89.84,0,3,0
AO Malhotra,INDIA,1982,1986,20,19,4,457,65,30.46,645,70.85,0,1,0
Umar Gul,PAK,2003,2016,130,65,18,457,39,9.72,642,71.18,0,0,10
C Sharma,INDIA,1983,1994,65,35,16,456,101,24,504,90.47,1,0,3
GEF Barnett,Can,2006,2010,22,22,0,455,77,20.68,745,61.07,0,1,1
R Gunasekera,Can,2008,2014,19,19,0,455,72,23.94,677,67.2,0,6,3
RW Chakabva,ZIM,2008,2015,34,31,1,454,45,15.13,813,55.84,0,0,2
JL Carter,WI,2015,2017,20,19,2,453,54,26.64,626,72.36,0,3,1
Minhajul Abedin,BDESH,1986,1999,27,26,2,453,68,18.87,909,49.83,0,2,3
MJ Santner,NZ,2015,2017,32,26,9,452,48,26.58,528,85.6,0,0,2
Mehrab Hossain,BDESH,1998,2003,18,18,0,449,101,24.94,763,58.84,1,2,2
TE Blain,NZ,1986,1994,38,38,11,442,49,16.37,662,66.76,0,0,6
SAR Silva,SL,1984,1985,20,20,0,441,85,22.05,838,52.62,0,3,1
GR Viswanath,INDIA,1974,1982,25,23,1,439,75,19.95,830,52.89,0,2,1
JP Maher,AUS,1998,2003,26,20,3,438,95,25.76,673,65.08,0,1,1
AH Omarshah,ZIM,1983,1996,28,28,2,437,60,16.8,860,50.81,0,1,4
PL Taylor,AUS,1987,1992,83,47,25,437,54,19.86,583,74.95,0,1,4
DN Chudasama,KENYA,1996,1999,20,19,0,434,122,22.84,685,63.35,1,1,2
CJ McDermott,AUS,1985,1996,138,78,17,432,37,7.08,492,87.8,0,0,15
CJO Smith,SCOT,2006,2009,27,26,4,432,59,19.63,640,67.5,0,2,3
DR Pringle,ENG,1982,1993,44,30,12,425,49,23.61,616,68.99,0,0,1
MN van Wyk,SA,2003,2015,17,17,1,425,82,26.56,617,68.88,0,4,2
AK Sharma,INDIA,1988,1993,31,27,6,424,59,20.19,469,90.4,0,3,2
RC Russell,ENG,1987,1998,40,31,7,423,50,17.62,638,66.3,0,1,0
AS Hansra,Can,2010,2014,24,22,4,421,70,23.38,725,58.06,0,2,2
SMA Priyanjan,SL,2013,2015,23,20,2,420,74,23.33,522,80.45,0,2,0
AR Adams,NZ,2001,2007,42,34,10,419,45,17.45,417,100.47,0,0,1
C Munro,NZ,2013,2017,20,16,0,419,87,26.18,451,92.9,0,3,1
SR Waters,KENYA,2008,2011,20,20,0,419,74,20.95,751,55.79,0,2,2
CO Browne,WI,1995,2005,46,32,8,415,46,17.29,590,70.33,0,0,3
Farhad Reza,BDESH,2006,2011,34,31,6,412,50,16.48,636,64.77,0,1,2
GB Brent,ZIM,1996,2008,70,54,20,408,59,12,698,58.45,0,1,3
Usman Ghani,AFG,2014,2015,14,14,0,408,118,29.14,504,80.95,1,2,2
CB Lambert,USA,1990,2004,12,12,0,407,119,33.91,540,75.37,1,2,1
CB Lambert,WI,1990,2004,12,12,0,407,119,33.91,540,75.37,1,2,1
RW Price,ZIM,2002,2012,102,59,17,406,46,9.66,701,57.91,0,0,10
IR Bishop,WI,1988,1997,84,44,19,405,33,16.2,776,52.19,0,0,3
EA Brandes,ZIM,1987,1999,59,41,10,404,55,13.03,448,90.17,0,2,3
ID Blackwell,ENG,2002,2006,34,29,2,403,82,14.92,465,86.66,0,1,6
F Mutizwa,ZIM,2009,2011,17,15,2,403,79,31,502,80.27,0,4,2
JP Bray,IRE,2006,2007,15,15,1,401,116,28.64,594,67.5,2,0,2
RG de Alwis,SL,1983,1988,31,27,8,401,59,21.1,512,78.32,0,2,2
S Madan Lal,INDIA,1974,1987,67,35,14,401,53,19.09,645,62.17,0,1,1
TBM de Leede,NL,1996,2007,29,25,1,400,58,16.66,628,63.69,0,2,4
WS Jayantha,SL,2004,2004,17,17,2,400,74,26.66,530,75.47,0,2,2
Mushtaq Ahmed,PAK,1989,2003,144,76,34,399,34,9.5,698,57.16,0,0,10
Sohail Tanvir,PAK,2007,2014,62,40,11,399,59,13.75,458,87.11,0,1,3
DR Chumney,Can,2003,2007,21,21,2,397,48,20.89,595,66.72,0,0,0
IA Karim,KENYA,2011,2014,9,9,0,396,112,44,522,75.86,2,1,0
AB Barath,WI,2010,2012,14,14,1,394,113,30.3,612,64.37,1,1,2
Shoaib Akhtar,Asia,1998,2011,163,84,40,394,43,8.95,538,73.23,0,0,11
Shoaib Akhtar,ICC,1998,2011,163,84,40,394,43,8.95,538,73.23,0,0,11
Shoaib Akhtar,PAK,1998,2011,163,84,40,394,43,8.95,538,73.23,0,0,11
T Thushara,SL,2008,2010,38,27,6,392,54,18.66,424,92.45,0,1,4
PJ Ongondo,Afr,1999,2011,79,62,19,391,36,9.09,621,62.96,0,0,9
PJ Ongondo,KENYA,1999,2011,79,62,19,391,36,9.09,621,62.96,0,0,9
Mirwais Ashraf,AFG,2009,2016,46,38,11,387,52,14.33,543,71.27,0,1,3
AF Giles,ENG,1997,2005,62,35,13,385,41,17.5,551,69.87,0,0,2
Hannan Sarkar,BDESH,2002,2004,20,20,0,383,61,19.15,713,53.71,0,3,2
Sadiq Mohammad,PAK,1973,1980,19,19,1,383,74,21.27,755,50.72,0,2,0
Anshuman Rath,HK,2014,2016,10,10,1,382,97,42.44,521,73.32,0,4,0
N Dickwella,SL,2014,2017,11,10,0,380,94,38,387,98.19,0,3,0
MH Dekker,ZIM,1992,1996,23,22,2,379,79,18.95,798,47.49,0,2,0
DM Wellham,AUS,1981,1987,17,17,2,379,97,25.26,699,54.22,0,1,0
U Bhatti,Can,2006,2010,36,30,8,378,46,17.18,513,73.68,0,0,2
GF Lawson,AUS,1980,1989,79,52,18,378,33,11.11,500,75.6,0,0,9
MD Gunathilaka,SL,2015,2016,16,15,0,377,65,25.13,419,89.97,0,3,0
MR Ramprakash,ENG,1991,2001,18,18,4,376,51,26.85,544,69.11,0,1,0
XM Marshall,WI,2005,2009,24,24,3,375,157,17.85,545,68.8,1,0,5
Al Sahariar,BDESH,1999,2003,29,29,1,374,62,13.35,709,52.75,0,2,6
CC Lewis,ENG,1990,1998,53,40,14,374,33,14.38,459,81.48,0,0,6
SMH Kirmani,INDIA,1976,1986,49,31,13,373,48,20.72,616,60.55,0,0,2
DS de Silva,SL,1975,1985,41,29,10,371,37,19.52,691,53.69,0,0,0
S Chattergoon,WI,2006,2009,18,17,2,370,54,24.66,615,60.16,0,2,2
S Prasanna,SL,2011,2016,34,31,3,370,95,13.21,357,103.64,0,2,6
PJ Forrest,AUS,2012,2012,15,14,0,368,104,26.28,561,65.59,1,3,2
WM Darling,AUS,1978,1982,18,18,1,363,74,21.35,679,53.46,0,1,0
SP Narine,WI,2011,2016,65,45,12,363,36,11,441,82.31,0,0,8
SS Karim,INDIA,1997,2000,34,27,4,362,55,15.73,560,64.64,0,1,2
R Rampaul,WI,2003,2015,92,40,11,362,86,12.48,472,76.69,0,1,3
Shahriar Hossain,BDESH,1997,2004,20,19,0,362,95,19.05,682,53.07,0,2,4
DG Brownlie,NZ,2012,2017,16,15,1,361,63,25.78,486,74.27,0,1,0
WK McCallan,IRE,2006,2009,39,28,10,361,50,20.05,419,86.15,0,1,5
RC Irani,ENG,1996,2003,31,30,5,360,53,14.4,549,65.57,0,1,7
Mushfiqur Rahman,BDESH,2000,2004,28,25,3,360,49,16.36,690,52.17,0,0,4
BJ Patel,KENYA,2001,2006,31,25,3,360,44,16.36,736,48.91,0,0,4
AD Brown,ENG,1996,2001,16,16,0,354,118,22.12,427,82.9,1,1,2
ADS Fletcher,WI,2008,2016,25,25,0,354,54,14.16,549,64.48,0,2,3
Wajahatullah Wasti,PAK,1999,2000,15,15,0,349,84,23.26,713,48.94,0,1,1
Zahid Fazal,PAK,1990,1994,19,18,3,348,98,23.2,584,59.58,0,2,0
MH Cross,SCOT,2014,2017,26,22,0,346,55,15.72,455,76.04,0,1,0
RDB Croft,ENG,1996,2001,50,36,12,345,32,14.37,519,66.47,0,0,4
GP Wickramasinghe,SL,1990,2002,134,64,24,344,32,8.6,543,63.35,0,0,12
DNT Zoysa,SL,1997,2007,95,47,21,343,47,13.19,358,95.81,0,0,5
HH Kanitkar,INDIA,1997,2000,34,27,8,339,57,17.84,512,66.21,0,1,2
M Vijay,INDIA,2010,2015,17,16,0,339,72,21.18,506,66.99,0,1,0
BE Congdon,NZ,1973,1978,11,9,3,338,101,56.33,472,71.61,1,2,0
CM Old,ENG,1973,1981,32,25,7,338,51,18.77,401,84.28,0,1,4
MG Burgess,NZ,1973,1981,26,20,0,336,47,16.8,515,65.24,0,0,1
NM Hauritz,AUS,2002,2011,58,32,17,336,53,22.4,349,96.27,0,1,0
SD Outerbridge,BMUDA,2006,2009,23,23,0,336,56,14.6,612,54.9,0,1,4
AU Rashid,ENG,2009,2017,41,19,6,336,69,25.84,310,108.38,0,1,1
Tapash Baisya,BDESH,2002,2007,56,41,13,336,35,12,576,58.33,0,0,4
PJ Moor,ZIM,2014,2017,19,18,1,335,52,19.7,539,62.15,0,2,1
DM de Silva,SL,2016,2017,16,15,2,334,78,25.69,445,75.05,0,3,1
Imad Wasim,PAK,2015,2017,18,14,5,332,63,36.88,339,97.93,0,3,0
KA Edwards,WI,2011,2014,16,16,2,331,123,23.64,494,67,1,0,3
Manjural Islam Rana,BDESH,2003,2006,25,21,5,331,63,20.68,668,49.55,0,1,1
S Mukuddem,BMUDA,2006,2007,20,18,4,331,57,23.64,650,50.92,0,1,2
Asif Iqbal,PAK,1973,1979,10,8,2,330,62,55,466,70.81,0,5,0
ZE Surkari,Can,2008,2011,23,22,3,328,49,17.26,656,50,0,0,1
DJ Capel,ENG,1987,1990,23,19,2,327,50,19.23,479,68.26,0,1,0
MH Yardy,ENG,2006,2011,28,24,8,326,60,20.37,472,69.06,0,2,1
ML Nkala,ZIM,1998,2006,50,35,5,324,47,10.8,526,61.59,0,0,5
Saeed Ajmal,PAK,2008,2015,113,70,24,324,33,7.04,535,60.56,0,0,11
RP Snell,SA,1991,1996,42,28,8,322,63,16.1,330,97.57,0,2,1
KJJ van Noortwijk,NL,1996,2003,9,9,2,322,134,46,428,75.23,1,1,1
Anwar Ali,PAK,2013,2016,22,16,5,321,43,29.18,367,87.46,0,0,0
CA Walsh,WI,1985,2000,205,79,33,321,30,6.97,451,71.17,0,0,11
RB McCosker,AUS,1975,1982,14,14,0,320,95,22.85,623,51.36,0,2,2
DR Brown,ENG,1997,2007,25,24,6,319,50,17.72,481,66.32,0,1,3
DR Brown,SCOT,1997,2007,25,24,6,319,50,17.72,481,66.32,0,1,3
Rashid Khan,AFG,2015,2017,21,19,3,317,60,19.81,323,98.14,0,1,0
HP Rinke,ZIM,2006,2006,18,18,0,317,72,17.61,378,83.86,0,3,2
Faisal Iqbal,PAK,2000,2006,18,16,2,314,100,22.42,519,60.5,1,0,3
NAM McLean,WI,1996,2003,45,34,8,314,50,12.07,383,81.98,0,1,7
Mohammad Sami,PAK,2001,2015,87,46,19,314,46,11.62,490,64.08,0,0,5
B Wood,ENG,1972,1982,13,12,2,314,78,31.4,647,48.53,0,2,1
RC Fredericks,WI,1973,1977,12,12,0,311,105,25.91,440,70.68,1,1,0
BR Hartland,NZ,1992,1994,16,16,1,311,68,20.73,623,49.91,0,2,1
N Chopra,INDIA,1998,2000,39,26,6,310,61,15.5,498,62.24,0,1,1
BC Hollioake,ENG,1997,2002,20,17,2,309,63,20.6,381,81.1,0,2,3
Nafees Iqbal,BDESH,2003,2005,16,16,0,309,58,19.31,568,54.4,0,2,1
Dawlat Zadran,AFG,2011,2017,51,38,17,307,31,14.61,418,73.44,0,0,5
SF Mire,ZIM,2014,2017,15,15,0,306,54,20.4,434,70.5,0,3,0
DM Benkenstein,SA,1998,2002,23,20,3,305,69,17.94,463,65.87,0,1,3
LE Bosman,Afr,2006,2010,14,12,0,301,88,25.08,305,98.68,0,2,2
LE Bosman,SA,2006,2010,14,12,0,301,88,25.08,305,98.68,0,2,2
CMW Read,ENG,2000,2006,36,24,7,300,30,17.64,410,73.17,0,0,4
WKM Benjamin,WI,1986,1995,85,52,12,298,31,7.45,406,73.39,0,0,10
DW Steyn,Afr,2005,2016,116,47,11,298,35,8.27,461,64.64,0,0,7
DW Steyn,SA,2005,2016,116,47,11,298,35,8.27,461,64.64,0,0,7
GS Ballance,ENG,2013,2015,16,15,1,297,79,21.21,443,67.04,0,2,1
PA Nixon,ENG,2007,2007,19,18,4,297,49,21.21,347,85.59,0,0,2
Zahoor Elahi,PAK,1996,1997,14,14,1,297,86,22.84,507,58.57,0,3,3
DN Crookes,SA,1994,2000,32,23,3,296,54,14.8,412,71.84,0,1,3
AJ Pycroft,ZIM,1983,1992,20,19,2,295,61,17.35,560,52.67,0,2,2
DR Tuffey,NZ,2000,2010,94,52,21,295,36,9.51,372,79.3,0,0,7
DL Murray,WI,1973,1980,26,17,5,294,61,24.5,468,62.82,0,2,0
SE Bond,NZ,2002,2010,82,40,22,292,31,16.22,384,76.04,0,0,2
P Kumar,INDIA,2007,2012,68,33,12,292,54,13.9,331,88.21,0,1,2
SS Pathirana,SL,2015,2017,14,11,1,292,56,29.2,331,88.21,0,1,0
RN Lewis,WI,1997,2009,28,21,5,291,49,18.18,367,79.29,0,0,1
DA Reeve,ENG,1991,1996,29,21,9,291,35,24.25,389,74.8,0,0,0
CS Pandit,INDIA,1986,1992,36,23,9,290,33,20.71,400,72.5,0,0,2
Sanwar Hossain,BDESH,1998,2003,27,27,2,290,52,11.6,597,48.57,0,1,2
SMSM Senanayake,SL,2012,2015,49,33,11,290,42,13.18,311,93.24,0,0,6
JN Gillespie,AUS,1996,2005,97,39,16,289,44,12.56,368,78.53,0,0,8
IDR Bradshaw,WI,2004,2007,62,34,11,287,37,12.47,480,59.79,0,0,6
KM Curran,ZIM,1983,1987,11,11,0,287,73,26.09,430,66.74,0,2,1
LG Howell,NZ,1998,1998,12,12,0,287,68,23.91,388,73.96,0,4,1
MK Tiwary,INDIA,2008,2015,12,12,1,287,104,26.09,403,71.21,1,1,0
D Lloyd,ENG,1973,1980,8,8,1,285,116,40.71,526,54.18,1,0,0
VJ Marks,ENG,1980,1988,34,24,3,285,44,13.57,434,65.66,0,0,0
JAR Blain,SCOT,1999,2009,33,25,6,284,41,14.94,517,54.93,0,0,3
LP van Troost,NL,2002,2007,23,20,2,284,40,15.77,456,62.28,0,0,2
MA Holding,WI,1976,1987,102,42,11,282,64,9.09,377,74.8,0,2,9
TAM Siriwardana,SL,2015,2016,14,11,1,281,66,28.1,254,110.62,0,2,0
S Randiv,SL,2009,2016,31,18,2,280,56,17.5,382,73.29,0,1,2
CL King,WI,1976,1980,18,14,2,280,86,23.33,267,104.86,0,1,2
RS Sodhi,INDIA,2000,2002,18,14,3,280,67,25.45,381,73.49,0,2,0
KC Brathwaite,WI,2016,2017,10,10,0,278,78,27.8,483,57.55,0,1,0
AV Vadher,KENYA,1997,1999,18,16,6,278,73,27.8,512,54.29,0,2,1
Mehrab Hossain jnr,BDESH,2006,2009,18,16,0,276,54,17.25,642,42.99,0,1,1
JE Taylor,WI,2003,2016,85,40,9,276,43,8.9,318,86.79,0,0,6
Gulbadin Naib,AFG,2011,2017,22,19,3,274,82,17.12,327,83.79,0,1,3
JM Anderson,ENG,2002,2015,194,79,43,273,28,7.58,561,48.66,0,0,10
DT Christian,AUS,2012,2014,19,18,5,273,39,21,307,88.92,0,0,0
JW Hastings,AUS,2010,2016,28,21,11,271,51,27.1,273,99.26,0,1,1
AM Bacher,SA,1997,2005,13,13,0,270,56,20.76,469,57.56,0,1,0
CR Brathwaite,WI,2011,2017,23,22,2,270,33,13.5,334,80.83,0,0,1
Jahurul Islam,BDESH,2010,2013,14,13,1,270,53,22.5,371,72.77,0,1,2
KBJ Azad,INDIA,1980,1986,25,21,2,269,39,14.15,400,67.25,0,0,3
AD Gaekwad,INDIA,1975,1987,15,14,1,269,78,20.69,509,52.84,0,1,2
AW Greig,ENG,1972,1977,22,19,3,269,48,16.81,378,71.16,0,0,1
Mohammad Amir,PAK,2009,2017,29,21,6,269,73,17.93,295,91.18,0,2,4
Umar Amin,PAK,2010,2014,15,15,1,269,59,19.21,388,69.32,0,1,0
JL Denly,ENG,2009,2009,9,9,0,268,67,29.77,409,65.52,0,2,0
Aaqib Javed,PAK,1988,1998,163,51,26,267,45,10.68,456,58.55,0,0,7
Hashmatullah Shahidi,AFG,2013,2017,15,15,3,267,72,22.25,479,55.74,0,1,2
Shamsur Rahman,BDESH,2013,2014,10,10,0,266,96,26.6,350,76,0,2,2
SJ Myburgh,NL,2011,2014,11,11,1,265,56,26.5,305,86.88,0,2,1
MH Denness,ENG,1973,1975,12,11,2,264,66,29.33,417,63.3,0,1,1
S Jyoti,Can,2006,2010,14,13,1,264,117,22,442,59.72,1,0,3
NO Miller,WI,2008,2015,46,26,12,264,51,18.85,318,83.01,0,1,4
SP Patil,UAE,2014,2015,13,12,2,263,99,26.3,404,65.09,0,2,1
HJW Gardiner,SCOT,2013,2015,11,11,0,262,96,23.81,396,66.16,0,2,1
Naved Latif,PAK,2001,2003,11,11,0,262,113,23.81,417,62.82,1,0,1
MK Pandey,INDIA,2015,2016,12,9,3,261,104,43.5,271,96.3,1,1,1
MA Starc,AUS,2010,2017,65,31,15,259,52,16.18,283,91.51,0,1,3
KJ Wadsworth,NZ,1973,1976,13,10,1,258,104,28.66,334,77.24,1,0,1
ML Udawatte,SL,2008,2008,9,9,0,257,73,28.55,383,67.1,0,2,1
SS Dighe,INDIA,2000,2001,23,17,6,256,94,23.27,421,60.8,0,1,1
Shafiqullah,AFG,2009,2016,16,14,1,256,56,19.69,284,90.14,0,1,2
R Edwards,AUS,1972,1975,9,8,1,255,80,36.42,349,73.06,0,3,1
AD Poynter,IRE,2008,2014,19,16,3,255,78,19.61,412,61.89,0,2,3
E Lewis,WI,2016,2017,8,8,0,253,148,31.62,273,92.67,1,0,1
S Ranatunga,SL,1994,1996,13,11,0,253,70,23,526,48.09,0,2,0
IP Butchart,ZIM,1983,1995,20,16,2,252,54,18,395,63.79,0,1,2
J Edness,BMUDA,2007,2008,11,11,2,252,72,28,403,62.53,0,1,1
JFM Morrison,NZ,1975,1983,18,15,3,252,55,21,472,53.38,0,1,0
HA Varaiya,KENYA,2006,2014,63,38,17,252,34,12,489,51.53,0,0,3
SD Hope,WI,2016,2017,7,7,0,250,101,35.71,362,69.06,1,0,0
JAH Marshall,NZ,2005,2008,10,10,0,250,161,25,313,79.87,1,1,2
CT Radley,ENG,1978,1978,4,4,1,250,117,83.33,367,68.11,1,1,0
AR Caddick,ENG,1993,2003,54,38,18,249,36,12.45,395,63.03,0,0,6
GF Labrooy,SL,1986,1992,44,36,7,249,33,8.58,350,71.14,0,0,6
JM Parker,NZ,1974,1981,24,20,0,248,66,12.4,403,61.53,0,1,1
RB Reid,NZ,1988,1991,9,9,0,248,64,27.55,448,55.35,0,2,0
RH Vance,NZ,1988,1989,8,8,0,248,96,31,481,51.55,0,1,0
MA Suji,KENYA,1996,2006,64,52,22,247,16,8.23,526,46.95,0,0,9
A Turner,AUS,1975,1975,6,6,0,247,101,41.16,309,79.93,1,0,0
M Morkel,Afr,2007,2016,108,41,16,246,32,9.84,327,75.22,0,0,8
M Morkel,SA,2007,2016,108,41,16,246,32,9.84,327,75.22,0,0,8
AD Mascarenhas,ENG,2007,2009,20,13,2,245,52,22.27,257,95.33,0,1,2
SM Davies,ENG,2009,2011,8,8,0,244,87,30.5,231,105.62,0,1,1
Qaiser Ali,Can,2006,2008,17,17,1,244,70,15.25,383,63.7,0,2,3
BP Patel,INDIA,1974,1979,10,9,1,243,82,30.37,399,60.9,0,1,0
Afsar Zazai,AFG,2014,2015,14,14,1,242,60,18.61,437,55.37,0,2,3
PR Downton,ENG,1977,1988,28,20,5,242,44,16.13,358,67.59,0,0,2
Hasan Raza,PAK,1996,1999,16,13,0,242,77,18.61,480,50.41,0,1,1
MJ Di Venuto,AUS,1997,1997,9,9,0,241,89,26.77,281,85.76,0,2,0
GD Drummond,SCOT,2007,2013,30,20,7,240,35,18.46,262,91.6,0,0,2
DK Lillee,AUS,1972,1983,63,34,8,240,42,9.23,320,75,0,0,6
CM Wright,SCOT,2006,2009,20,18,3,240,37,16,351,68.37,0,0,2
SW Billings,ENG,2015,2017,9,8,0,239,62,29.87,252,94.84,0,2,1
CRD Fernando,Asia,2001,2012,147,61,35,239,20,9.19,392,60.96,0,0,9
CRD Fernando,SL,2001,2012,147,61,35,239,20,9.19,392,60.96,0,0,9
J Garner,WI,1977,1987,98,41,15,239,37,9.19,360,66.38,0,0,5
T Panyangara,ZIM,2004,2016,65,49,13,239,33,6.63,463,51.61,0,0,9
KJ Arnott,ZIM,1987,1993,13,12,2,238,60,23.8,491,48.47,0,3,0
DC Thomas,WI,2009,2013,21,19,2,238,37,14,364,65.38,0,0,3
Amjad Javed,UAE,2008,2017,14,12,1,237,56,21.54,259,91.5,0,1,1
NS Poonia,SCOT,2006,2009,21,21,0,237,67,11.28,377,62.86,0,1,7
Enamul Haque,BDESH,1990,2002,29,26,5,236,32,11.23,479,49.26,0,0,1
GJ Hopkins,NZ,2004,2010,25,17,1,236,45,14.75,311,75.88,0,0,3
LM Jongwe,ZIM,2014,2016,22,19,3,236,46,14.75,303,77.88,0,0,2
Khurram Manzoor,PAK,2008,2009,7,7,0,236,83,33.71,375,62.93,0,3,1
GR Codrington,Can,2006,2007,17,15,3,235,45,19.58,372,63.17,0,0,1
JP Crawley,ENG,1994,1999,13,12,1,235,73,21.36,408,57.59,0,2,2
Iftikhar Anjum,PAK,2004,2010,62,34,19,234,32,15.6,378,61.9,0,0,4
P Mustard,ENG,2007,2008,10,10,0,233,83,23.3,252,92.46,0,1,0
Rohan Mustafa,UAE,2014,2017,13,13,0,233,43,17.92,314,74.2,0,0,1
CH Morris,SA,2013,2017,23,14,2,232,62,19.33,235,98.72,0,1,0
AME Roberts,WI,1975,1983,56,32,9,231,37,10.04,357,64.7,0,0,3
STR Binny,INDIA,2014,2015,14,11,3,230,77,28.75,246,93.49,0,1,1
TM Chappell,AUS,1980,1983,20,13,0,229,110,17.61,365,62.73,1,0,2
SHU Karnain,SL,1984,1990,19,17,5,229,41,19.08,386,59.32,0,0,2
TM Dowlin,WI,2009,2010,11,11,2,228,100,25.33,348,65.51,1,1,2
DR Flynn,NZ,2008,2012,20,17,2,228,35,15.2,360,63.33,0,0,3
AY Karim,KENYA,1996,2003,34,24,6,228,53,12.66,375,60.8,0,1,5
M Dillon,WI,1997,2005,108,51,20,227,21,7.32,411,55.23,0,0,9
AMJ Hilditch,AUS,1979,1985,8,8,0,226,72,28.25,476,47.47,0,1,0
Raza-ur-Rehman,Can,2013,2014,6,5,0,225,88,45,262,85.87,0,3,1
BP Julian,AUS,1993,1999,25,17,0,224,35,13.17,250,89.6,0,0,4
KR Stackpole,AUS,1971,1974,6,6,0,224,61,37.33,387,57.88,0,3,0
JH Edrich,ENG,1971,1975,7,6,0,223,90,37.16,325,68.61,0,2,0
GH Dockrell,IRE,2010,2017,57,34,16,222,25,12.33,340,65.29,0,0,3
DAS Gunaratne,SL,2016,2017,10,8,2,222,114,37,252,88.09,1,0,0
HM Nicholls,NZ,2015,2016,11,10,2,222,82,27.75,302,73.5,0,2,0
BKV Prasad,INDIA,1994,2001,161,63,31,221,19,6.9,367,60.21,0,0,8
Sarfraz Nawaz,PAK,1973,1984,45,31,8,221,34,9.6,345,64.05,0,0,5
Wasim Bari,PAK,1973,1984,51,26,13,221,34,17,431,51.27,0,0,0
HS Baidwan,Can,2008,2014,32,22,7,220,33,14.66,339,64.89,0,0,3
KL Rahul,INDIA,2016,2017,6,6,2,220,100,55,269,81.78,1,1,0
DR Lockhart,SCOT,2006,2010,14,11,2,218,46,24.22,341,63.92,0,0,1
Y Venugopal Rao,INDIA,2005,2006,16,11,2,218,61,24.22,363,60.05,0,1,2
NR Kumar,Can,2010,2014,16,15,1,217,38,15.5,397,54.65,0,0,1
FA Rose,WI,1997,2000,27,23,5,217,30,12.05,265,81.88,0,0,2
EO Simons,SA,1994,1995,23,18,4,217,24,15.5,295,73.55,0,0,1
V Dahiya,INDIA,2000,2001,19,15,2,216,51,16.61,267,80.89,0,1,2
KAJ Roach,WI,2008,2015,67,42,26,216,34,13.5,415,52.04,0,0,6
MA Leask,SCOT,2014,2017,16,13,1,215,50,17.91,203,105.91,0,1,0
WK Lees,NZ,1979,1983,31,24,5,215,26,11.31,307,70.03,0,0,1
JJ Atkinson,HK,2008,2016,8,8,0,214,59,26.75,335,63.88,0,1,0
NO Perry,WI,1999,2000,21,16,8,212,52,26.5,340,62.35,0,1,2
FRJ Coleman,SCOT,2013,2015,16,14,0,211,70,15.07,344,61.33,0,1,2
KS Lokuarachchi,SL,2003,2007,21,18,3,210,69,14,262,80.15,0,1,2
CPH Ramanayake,SL,1986,1995,62,35,14,210,26,10,374,56.14,0,0,7
Tahir Naqqash,PAK,1980,1985,40,23,9,210,61,15,242,86.77,0,1,4
Mushtaq Mohammad,PAK,1973,1978,10,9,3,209,55,34.83,353,59.2,0,1,0
L Siaka,PNG,2014,2016,5,5,0,209,109,41.8,226,92.47,1,0,0
B Kumar,INDIA,2012,2017,59,31,9,207,31,9.4,280,73.92,0,0,6
MHW Papps,NZ,2004,2005,6,6,2,207,92,51.75,342,60.52,0,2,0
DL Bairstow,ENG,1979,1984,21,20,6,206,23,14.71,390,52.82,0,0,1
AR Berenger,UAE,2014,2015,10,10,0,205,66,20.5,304,67.43,0,2,0
PE McEwan,NZ,1980,1985,17,15,0,204,41,13.6,346,58.95,0,0,0
JA Rennie,ZIM,1993,2000,44,27,12,201,27,13.4,391,51.4,0,0,6
APE Knott,ENG,1971,1977,20,14,4,200,50,20,247,80.97,0,1,2
NW Bracken,AUS,2001,2009,116,35,18,199,21,11.7,282,70.56,0,0,5
AJ Burger,NAM,2003,2003,6,6,0,199,85,33.16,198,100.5,0,1,0
Moin-ul-Atiq,PAK,1988,1989,5,5,0,199,105,39.8,279,71.32,1,0,0
M Ntini,ICC,1998,2009,173,47,24,199,42,8.65,298,66.77,0,0,9
